id,price,latitude,longitude,ln_price,f_property_type,f_room_type,f_neighbourhood_cleansed,n_accommodates,n_bedrooms,n_beds,n_bathrooms,n_number_of_reviews,n_reviews_per_month,n_review_scores_rating,n_minimum_nights,n_availability_365,n_host_listings_count,p_host_response_rate,d_host_is_superhost,d_instant_bookable,d_host_identity_verified,n_days_since,d_wifi,d_airconditioning,d_heating,d_kitchen,d_washer,d_dryer,d_tv,d_hairdryer,d_iron,d_elevator,d_freeparking,d_pool,d_dishesandsilverware,d_hottub,d_gym,d_selfcheckin,d_smokingallowed,d_petsallowed,d_hotwater,d_coffeemaker,d_dishwasher,d_microwave,d_refrigerator,d_balcony,d_fireextinguisher,d_smokealarm,d_carbonmonoxidealarm,d_dedicatedworkspace,d_essentials,d_hangers,d_bedlinens,n_amenities_count,n_accommodates2,ln_accommodates,ln_accommodates2,ln_beds,ln_number_of_reviews,f_bathroom,f_number_of_reviews,f_minimum_nights,flag_days_since,flag_review_scores_rating,flag_reviews_per_month,flag_host_response_rate,ln_days_since,ln_days_since2,ln_days_since3,ln_review_scores_rating
922483078848880362,143.0,39.46359922641236,-0.3743072971701622,4.962844630259907,Apartment,Entire home/apt,RUSSAFA,4.0,2.0,2.0,1.0,9.0,0.46,4.78,2.0,77.0,1.0,100.0,0,0,1,585.0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,8,16.0,1.6094379124341003,2.5902903939802346,1.0986122886681098,2.302585092994046,1,1,2,0,0,0,0,6.373319789577012,40.61920514021397,258.879183957014,1.5665304114228238
968111902707427537,109.0,39.47036582311377,-0.3297702223062514,4.6913478822291435,Apartment,Entire home/apt,CABANYAL-CANYAMELAR,2.0,1.0,2.0,1.0,30.0,1.6,4.87,4.0,180.0,6.0,100.0,1,0,1,560.0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,30,4.0,1.0986122886681098,1.206948960812582,1.0986122886681098,3.4339872044851463,1,2,3,0,0,0,0,6.329720905522696,40.06536674181106,253.60258945307518,1.5851452198650557
965329984895923595,120.0,39.47036012912702,-0.3299063444137573,4.787491742782046,Apartment,Entire home/apt,CABANYAL-CANYAMELAR,4.0,1.0,2.0,1.0,26.0,1.38,4.85,4.0,172.0,6.0,100.0,1,1,1,563.0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,37,16.0,1.6094379124341003,2.5902903939802346,1.0986122886681098,3.295836866004329,1,2,3,0,0,0,0,6.335054251498059,40.132912369423636,254.24417713091626,1.5810384379124023
991134978258903011,109.0,39.46952379032403,-0.3309387797580799,4.6913478822291435,Apartment,Entire home/apt,CABANYAL-CANYAMELAR,3.0,1.0,2.0,1.0,20.0,1.14,4.55,4.0,172.0,6.0,100.0,1,0,1,526.0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,34,9.0,1.3862943611198906,1.9218120556728056,1.0986122886681098,3.044522437723423,1,2,3,0,0,0,0,6.267200548541362,39.27780271563715,246.16186672494058,1.5173226235262947
881132440870470003,134.0,39.4624259,-0.3315628,4.897839799950911,Apartment,Entire home/apt,EL GRAU,5.0,3.0,4.0,2.0,36.0,1.75,4.64,5.0,316.0,6.0,100.0,1,0,1,615.0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,39,25.0,1.791759469228055,3.210401995568401,1.6094379124341003,3.6109179126442243,2,2,3,0,0,0,0,6.423246963533519,41.25810155454258,265.01097553137316,1.5368672195992648
960126183443508382,131.0,39.47093353241805,-0.3289802461531164,4.875197323201151,Apartment,Entire home/apt,CABANYAL-CANYAMELAR,3.0,1.0,2.0,1.0,43.0,2.24,4.95,4.0,175.0,6.0,100.0,1,1,1,575.0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,35,9.0,1.3862943611198906,1.9218120556728056,1.0986122886681098,3.784189633918261,1,2,3,0,0,0,0,6.3561076606958915,40.400104594356996,256.7874143051078,1.601405740736836
13219448,126.0,39.4623,-0.33483,4.836281906951478,Apartment,Entire home/apt,EL GRAU,5.0,3.0,3.0,1.0,129.0,1.2,4.62,4.0,179.0,5.0,100.0,0,1,1,3211.0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,28,25.0,1.791759469228055,3.210401995568401,1.3862943611198906,4.867534450455582,1,3,3,0,0,0,0,8.074649075066652,65.19995768547474,526.4667780194035,1.5325568680981427
628027475691420195,115.0,39.471516,-0.331071,4.74493212836325,House,Entire home/apt,CABANYAL-CANYAMELAR,6.0,2.0,4.0,1.0,29.0,0.88,4.45,2.0,168.0,1.0,100.0,0,1,1,988.0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,41,36.0,1.9459101490553132,3.7865663081964716,1.6094379124341003,3.4011973816621555,1,2,2,0,0,0,0,6.8966943316227125,47.56439270383685,328.0370775476283,1.4951487660319727
1163656449564408787,68.0,39.4634729,-0.3827259,4.219507705176107,House,Entire home/apt,ARRANCAPINS,4.0,3.0,3.0,1.5,2.0,0.75,5.0,32.0,134.0,2.0,100.0,0,0,1,79.0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,45,16.0,1.6094379124341003,2.5902903939802346,1.3862943611198906,1.0986122886681098,1,1,4,0,0,0,0,4.382026634673881,19.202157426991302,84.14436528827676,1.6114359150967734
1139799774370415297,126.0,39.46914,-0.33396,4.836281906951478,Apartment,Entire home/apt,CABANYAL-CANYAMELAR,4.0,1.0,2.0,1.0,2.0,0.23,5.0,15.0,150.0,1.0,100.0,0,0,1,264.0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,35,16.0,1.6094379124341003,2.5902903939802346,1.0986122886681098,1.0986122886681098,1,1,4,0,0,0,0,5.579729825986222,31.133384931000236,173.71587648341202,1.6114359150967734
1240541562276787303,180.0,39.4599211,-0.3742101,5.19295685089021,Apartment,Entire home/apt,RUSSAFA,4.0,3.0,4.0,2.0,0.0,1.2,4.77,11.0,316.0,1.0,100.0,0,0,1,649.0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16.0,1.6094379124341003,2.5902903939802346,1.6094379124341003,0.0,2,0,4,1,1,1,1,6.476972362889683,41.95117098963676,271.7165750907367,1.5644405465033644
27072026,174.0,39.47934,-0.37752,5.159055299214529,Apartment,Entire home/apt,EL CARME,4.0,2.0,2.0,1.0,304.0,3.77,4.94,2.0,101.0,2.0,100.0,1,0,1,2421.0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,51,16.0,1.6094379124341003,2.5902903939802346,1.0986122886681098,5.720311776607412,1,3,2,0,0,0,0,7.792348924113037,60.72070175512561,473.15689499294166,1.599387576580599
1043987002927630827,131.0,39.46693,-0.38171,4.875197323201151,Apartment,Entire home/apt,LA ROQUETA,4.0,3.0,3.0,2.0,4.0,0.6,4.75,30.0,100.0,2.0,100.0,1,0,1,199.0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,36,16.0,1.6094379124341003,2.5902903939802346,1.3862943611198906,1.6094379124341003,2,1,4,0,0,0,0,5.298317366548036,28.072166916664518,148.73524949119886,1.5602476682433286
