Rank,RF Feature,RF Importance,GBM Feature,GBM Importance
1,ln_accommodates,0.12781240542381733,n_bedrooms,0.18509682979309508
2,n_accommodates2,0.1170230675395324,ln_accommodates,0.15360697198191414
3,n_accommodates,0.11333989381694481,n_accommodates2,0.11367479009138247
4,n_bedrooms,0.09903942777612046,f_room_type[T.Private room],0.08175121577853971
5,f_room_type[T.Private room],0.05957487466202375,n_days_since,0.052063704010592085
6,f_bathroom,0.05169766666198776,f_bathroom,0.0487054753334288
7,n_beds,0.05151626949671716,n_accommodates,0.04857696361203031
8,n_review_scores_rating,0.049537956038064025,n_review_scores_rating,0.0440869280371773
9,n_days_since,0.04585726069588356,f_number_of_reviews,0.026266484544416036
10,f_number_of_reviews,0.02122986468487208,n_beds,0.021614835560204746
